Address,Bedroom,Bathroom,Area,Price
"Johar Town Phase 2 - Block M, Lahore",4,5,10 Marla,3.48 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Johar Town Phase 2 - Block M, Lahore",4,5,10 Marla,3.41 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Johar Town Phase 2 - Block M, Lahore",4,5,10 Marla,3.53 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Johar Town Phase 2 - Block M, Lahore",4,5,10 Marla,3.76 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.8 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.9 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.9 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.9 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.9 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.9 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.8 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.25 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.8 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,4.3 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Bahria Town, Lahore",2,2,8 Marla,1.65 crore
"Theme Park View, Lahore",2,3,5 Marla,35 lac
"DHA Phase 6, Lahore",5,5,1 Kanal,12.85 crore
"DHA Phase 6, Lahore",5,5,1 Kanal,11 crore
"DHA Phase 6, Lahore",5,5,1 Kanal,11 crore
"DHA Phase 6, Lahore",5,5,1 Kanal,9.75 crore
"Canal Bank Road, Lahore",2,2,2.5 Marla,65 lac
"DHA Phase 7, Lahore",4,4,10 Marla,2.9 crore
"Gulberg, Lahore",2,3,2000 Sqft,7.5 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.52 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.4 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.48 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.55 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.52 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.5 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.48 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.45 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.64 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.6 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.66 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.65 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.63 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.62 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.61 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.6 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.59 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.58 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.57 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.56 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.55 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.54 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.53 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.52 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.48 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.48 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.46 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.45 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.42 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.4 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.38 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.27 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.25 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.47 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.46 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.45 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.44 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.42 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.41 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.4 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.39 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.38 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.37 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.36 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.35 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.34 crore
"Khayaban E Amin, Lahore",2,2,5 Marla,75 lac
"Khayaban E Amin, Lahore",2,2,5 Marla,75 lac
"Khayaban E Amin, Lahore",2,2,5 Marla,75 lac
"Khayaban E Amin, Lahore",2,2,5 Marla,75 lac
"Khayaban E Amin, Lahore",2,2,5 Marla,75 lac
"Khayaban E Amin, Lahore",2,2,5 Marla,75 lac
"Khayaban E Amin, Lahore",2,2,5 Marla,75 lac
"Khayaban E Amin, Lahore",2,2,5 Marla,75 lac
"Khayaban E Amin, Lahore",2,2,5 Marla,75 lac
"Khayaban E Amin, Lahore",2,2,5 Marla,75 lac
"Khayaban E Amin, Lahore",2,2,5 Marla,75 lac
"Khayaban E Amin, Lahore",2,2,5 Marla,75 lac
"Green City, Lahore",4,5,9.5 Marla,3 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.32 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.31 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.3 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.29 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.28 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.27 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.26 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.25 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.22 crore
"DHA Rahbar, Lahore",4,5,10 Marla,3.2 crore
"DHA Phase 6, Lahore",3,3,5 Marla,2.95 crore
"DHA Phase 6, Lahore",5,5,1 Kanal,11.7 crore
"DHA Phase 6, Lahore",4,4,7.25 Marla,5.35 crore
"DHA Phase 6, Lahore",4,4,10 Marla,6.45 crore
"DHA Phase 6, Lahore",5,5,1 Kanal,10 crore
"Bahria Town, Lahore",4,4,10 Marla,3.8 crore
"New Garden Town, Lahore",4,3,1 Kanal,6.75 crore
"Lahore Cantt, Lahore",4,5,16 Marla,8 crore
"Askari 11, Lahore",4,5,10 Marla,4.5 crore
"Paragon City, Lahore",5,6,10 Marla,4.8 crore
"DHA Phase 8, Lahore",5,7,10 Marla,5.5 crore
"DHA Rahbar, Lahore",3,4,5 Marla,2.5 crore
"China Scheme, Lahore",2,3,7 Marla,2.5 crore
"DHA Phase 6, Lahore",5,5,1 Kanal,17.5 crore
"DHA Phase 6, Lahore",5,6,1 Kanal,9.15 crore
"DHA Phase 7, Lahore",5,6,1 Kanal,8 crore
"DHA Phase 7, Lahore",5,6,1 Kanal,7.85 crore
"Green City, Lahore",5,6,10 Marla,4 crore
"Marghzar Colony, Lahore",3,5,1 Kanal,75 crore
"Eden Boulevard, Lahore",2,1,3.75 Marla,65 lac
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.25 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.25 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.2 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.2 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.2 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.2 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.35 crore
"LDA Avenue Phase 1, Lahore",5,6,1 Kanal,3.7 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.25 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.25 crore
"LDA Avenue Phase 1, Lahore",5,6,1 Kanal,3.7 crore
"LDA Avenue Phase 1, Lahore",5,6,1 Kanal,3.7 crore
"LDA Avenue Phase 1, Lahore",5,6,1 Kanal,3.7 crore
"LDA Avenue Phase 1, Lahore",5,6,1 Kanal,3.73 crore
"LDA Avenue Phase 1, Lahore",6,5,10 Marla,3.25 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.25 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.25 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.25 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.25 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.25 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.25 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.25 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.2 crore
"LDA Avenue Phase 1, Lahore",6,5,10 Marla,3.25 crore
"LDA Avenue Phase 1, Lahore",6,5,10 Marla,3.25 crore
"LDA Avenue Phase 1, Lahore",6,5,10 Marla,3.25 crore
"LDA Avenue Phase 1, Lahore",6,5,10 Marla,3.25 crore
"LDA Avenue Phase 1, Lahore",6,5,10 Marla,3.25 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.2 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.25 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.2 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.25 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.25 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.25 crore
"LDA Avenue Phase 1, Lahore",5,6,10 Marla,3.25 crore
"DHA Phase 7, Lahore",5,6,1 Kanal,7.5 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.84 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.82 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.8 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.78 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.77 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.75 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.73 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.72 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.71 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.7 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.69 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.68 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.67 crore
