Author,Comment
@Cricketdani56,"Asia Cup Most Wickets 
1st:Haris Rauf 
2nd:Naseem Shah 
3rd:SHAHEEN Shah Afridi"
@user-br6dd8mh4v,"Most wickets in Asia Cup 2023

1) Haris Rauf - 9
2) Naseem Shah - 7"
@bismanasir9033,I'm from Pakistan but I also like Bangladesh and Bangladesh is the only team after Pakistan who's lost made me sad  love Bangladesh🇧🇩 from Pakistan 🇵🇰
@extendedexcellence,Respect button for Babar Azam
@ibneriyasat8147,respect botton for Pakistani bowlers
@waqarmedia5616,"️ Beat Nepal by 238 runs.
️ Points shared vs India.
️ Qualified super 4 as the first team.
️ Beat Bangladesh by 7 wickets."
@AnamKarim-hc7dd,Insha'Allah Pakistan will always win under the Captaincy Of  King Babar Azam
@rajajamshaid7164,"From 9th position to 1st and 18th win in last 22 games 
Pakistan Cricket is now 
something else"
@afrozasadiq2598,Respect button for Pak bowlers....🇵🇰
@aglove4u1,As a Indian🇮🇳  we also appreciated pak bowling attack... And its very leathal... We also appreciated it in the 90's too..... But to be Frank bowlers have very much advantage over batsman bckz one one mistake n batsman gone but on other side bowler have that advantage n we have loose pace attack as compared to Pakistan bit as a Indian fan looking forward for tye best team effort to outcast pak with collective effort amd from 1992 till 2919 we don't loose agame bcoz of collective effort and bowling done job exceptionally well... Best luck and hope we have good match
@farjanarahman6564,Being a Bangladeshi I would support my country.. I really wanted my team to win this match but never mind Pakistan is my second favourite country.. and babar azam and rizwan is my favourite player  I always pray for them to play a good innings️ I always pray tor them from the bottom of my heart aagar mere team Asia cup nhi jeeta tho I really wish ki Pakistan jeet jay..
@faisalmulla8529,Frankly speaking we can't show this kind of respect to pakistani cricketers here in India like you guys are showing for Virat
@Bisma_artandcraft,"Respect button for Captain Babar Azam 18 wins in the last 22 games, Alhamdulilah"
@hashimbaba5599,"In addition to fakhar, shadab's bowling is also alarming."
@yareman5596,"I don't know why as Kashmiri Pakistani when someone praise Bangladesh I feel very happy 
🇵🇰️🇧🇩"
@reubenfrost6503,"Damn right, brother! No matter how the media portrays us, we appreciate openly even if it is Indian Players and the sand art attests to it. On the other hand, no such gesture is reciprocated from India. India is gradually becoming an extremist state where Pakistan and its people are ""villains."" So, even praising us would be lethal to them and their property."
@K10___,"In IND, we love Pak's Pace bowlers which we don't have, 
1. Wasim Akram.
2. Waqar Younis.
3. And the new trio of the current generation."
@rayyanghani3751,As an Indian Muslim bitter truth is that we spend our whole lives proving our loyalty to India
@dollmasha007,Bangladesh and Pakistan are brothers
@TrashVerse333,"As a cricket lover, I must say that this is the best  bowling trio in a pace department that every team always hope for.
from India
See you on  Sunday Neighbour's"
@AnamKarim-hc7dd,"Hats Off to Pakistan Cricket Team 
MASHA'ALLAH ALHUMDULILLAH"
@MaloomatGhar,Respect button for the Ummti of Prophet Muhammad SAW.
@KHADIM_hussein--RAIZVI,"99 Names of Allah

1. Ar-Rahman"
@comming_soon_,Respect button for Babar azam and his captaincy .... ...  🇵🇰
@Rehman__04,cricket is incomplete without CBA Cricomedy
@ChamkiMahmood,In love with these cricomedy vidssss🫶aise hi videos aaye aur Pakistan jeetta jayeArsalan being consistent is the best thing🫶
@AnamKarim-hc7dd,Captaincy Masterclass By  King Babar Azam  MASHA'ALLAH
@umarcheema3535,"Their are serious concerns about 🇵🇰’s spin bowling department. Especially, with upcoming WC in India"
@shreyarao872,"We respect cricketers without considering their religion or nationality. In the India-Pakistan match, we all acknowledge that the Pakistani bowlers delivered an outstanding performance. Not only was I impressed by them, but I believe that all cricket fans were praising them. Even renowned YouTubers in India were lauding their performance. However, as Indians, we were supporting them because we know that in India-Pakistan matches, the outcome is always unpredictable."
@Shaikh__kashif,Brother I am an Indian and I want to say that as a sport lover I really like Babar Azam
@TechZoneTV_,Respect button For Shaheen Shah afridi ️
@Minsie.,Respect for Arsalan he takes part out of his busy schedule just to make videos for us and he is uploading everyday and I am very thankful towards him
@mscbaloch5769,INSHALLAH PAKISTAN WON THE ASIA CUP AND WORLD CUP
@usmanbhatti8497,Cricket is incomplete without cric comedy love you cba arslan bhai
@AbdulRahman-bu3mq,A day is incomplete without your cricomedy CBA Army
@areejiftikhar5027,"This is a new era of pakistan.crazy to think two years ago the main people were amir,wahab,imad were our main players but now it's completely changed these new talents have forced us to make harsh selections but it will be these new talents that bring home the cup"
@ammadplayz,SHAME ON JAY SHAH AND BCCI
@entertainmentworld6061,I am very impressed by bangladesh pace attack
@emanykazmi4097,To be honest Sach aj ki bowling is just perfect on point as always  and the way Rizwan and Imam bat that was so classy ️ ALHAMDUILLAH FOR THE WIN ️
@ahadbaryar,Imam is a gun player. Proud supporter from his debut century ️
@ashubairwa8929,It's fully respect for babar..he is cemented his position in the list of GOAT
@soach3266,That was rollercoaster ride for my feelings  ek taraf meri national team and dusri taraf meri favourite team   congratulations Pakistan love from Bangladesh 🇧🇩️
@daniyaldawood5462,No match is complete without Cric Comedy
@kamranmaniyar3514,"I have so much respect for you sir ️ I'm from India and you said that right we also love Pakistani players like babar , shahin , Naseem but in our country there is so much disgusting government they literally hated Pakistan so here we can't show love and support publicly after that they called terrorist to us"
@walkwithyash7278,"As an indian all i can say is indian media needed a strong pak team to humble them, and now Pakistan is truly unstoppable, they've turned the clock back to the 90s when Pakistan use to be an unstoppable force, good for world cricket love every bit of seeing their team in action!"
@alizasyeda2551,Respect for babar who make this great team... khud tu ranking mai aya world class player bana or team ko bhi behtreen lead kar raha mashaAllah
@playerunknown6701,I am big fan of Babar Azam  from India 🇮🇳️
@Afsarahamed-tk3ld,The pace attack is extremely dangerous
@anamkhan24-02,Huge respect for Pak bowlers and lots of love from India  i am huge fan of Shaheen sir and Naseem sir
@ahadmughal8007,King Babar's captaincy
@pranaysinganjude8551,"Hey arsalan there are many people in 🇮🇳 who really appreciate pakistani team and specially bowlers including my dad who hates pakistan but who loved 90s pakistani bowling and current pak bowlers, people might not confess publicly but there are people who are true cricket fans. Love from 🇮🇳"
@azlankhan456,Cricket incomplete without cba
@user-ek9hb4kw8g,Masha Allah great gesture by Pakistani fans for showing love towards Kohli
@SaifAli-vd2ry,Best bowling attack in the world Pakistan
@nooneknows19,"There’s definitely a lot of love for Pakistan cricketers in India. Wasim, waqar,Shoaib ,Imran are adored and respected a lot. The current pace attack is also highly praised in India. I think Babar is pretty well respected. I don’t think people like the kohli comparisons of Babar. But that’s very few people."
@sweetiepie502,Alhumdullillah we have the best pace attack of present era of cricket.Feeling so lucky Mashaallah
@ahmad_adeel,"Naseem Shah is such a great bowler he is unlucky some times but he has always been rewarded at the backend of the innings 
#CBAarmy"
@mustafaisahq2350,"Definitely everyone will be agree with the fast bowlers fielding limit.... 
P.C.B should notice this   especially for Shaheen and Naseem ...."
@bismanasir9033,Whenever match was over. PCT fans started waiting for CBA video
