Title/Author,Price,Avalibility,Reviews,Link,Rating
"Operating System Concepts
By Avi Silberschatz",Rs.6030,In stock,62 Reviews,https://www.amazon.com/Operating-System-Concepts-Abridged-Companion/dp/1119456339,3.76
"UNIX The Textbook
By Syed Mansoor Sarwar",Rs.3516,Not in stock,6 Reviews,https://www.google.com/search?q=Unix+the+textbook+by+mansoor&rlz=1C1CHBD_enPK987PK987&oq=unix+the+textbook+by+mansoor&aqs=chrome.0.69i59j69i57j69i59j69i60l5.4419j0j7&sourceid=chrome&ie=UTF-8,2.3
"Taxonomy of IDS
By Dr. Arif Butt",Rs.7093,In stock,64 Reviews,https://www.amazon.in/Taxonomy-Ids-Arif-Butt/dp/3639294092,1.45
"Things Fall Apart
By Chinua Achebe",Rs.3930,In stock,90 Reviews,https://en.wikipedia.org/wiki/Things_Fall_Apart,3.4
"Fairy tales
By Hans Christian Andersen",Rs.9386,In stock,108 Reviews,https://en.wikipedia.org/wiki/Fairy_Tales_Told_for_Children._First_Collection.,3.48
"The Divine Comedy
By Dante Alighieri",Rs.6190,Not in stock,83 Reviews,https://en.wikipedia.org/wiki/Divine_Comedy,4.36
"The Epic Of Gilgamesh
By Unknown",Rs.4203,In stock,55 Reviews,https://en.wikipedia.org/wiki/Epic_of_Gilgamesh,5
"The Book Of Job
By Unknown",Rs.9173,In stock,107 Reviews,https://en.wikipedia.org/wiki/Book_of_Job,4.57
"One Thousand and One Nights
By Unknown",Rs.8734,Not in stock,187 Reviews,https://en.wikipedia.org/wiki/One_Thousand_and_One_Nights,3.7
"Njál's Saga
By Unknown",Rs.6170,Not in stock,29 Reviews,https://en.wikipedia.org/wiki/Nj%C3%A1ls_saga,2.7199999999999998
"Pride and Prejudice
By Jane Austen",Rs.4186,Not in stock,59 Reviews,https://en.wikipedia.org/wiki/Pride_and_Prejudice,0
"Le Père Goriot
By Honoré de Balzac",Rs.9304,Not in stock,18 Reviews,https://en.wikipedia.org/wiki/Le_P%C3%A8re_Goriot,4.3
"Molloy, Malone Dies, The Unnamable, the trilogy
By Samuel Beckett",Rs.8150,In stock,115 Reviews,https://en.wikipedia.org/wiki/Molloy_(novel),3.65
