Title/Author,Price,Avalibility,Reviews,Link,Rating
"Operating System Concepts
By Avi Silberschatz",Rs.7549,In stock,107 Reviews,https://www.amazon.com/Operating-System-Concepts-Abridged-Companion/dp/1119456339,5
"UNIX The Textbook
By Syed Mansoor Sarwar",Rs.3002,In stock,30 Reviews,https://www.google.com/search?q=Unix+the+textbook+by+mansoor&rlz=1C1CHBD_enPK987PK987&oq=unix+the+textbook+by+mansoor&aqs=chrome.0.69i59j69i57j69i59j69i60l5.4419j0j7&sourceid=chrome&ie=UTF-8,5
"Taxonomy of IDS
By Dr. Arif Butt",Rs.4602,In stock,149 Reviews,https://www.amazon.in/Taxonomy-Ids-Arif-Butt/dp/3639294092,5
"Things Fall Apart
By Chinua Achebe",Rs.9373,Not in stock,142 Reviews,https://en.wikipedia.org/wiki/Things_Fall_Apart,1.38
"Fairy tales
By Hans Christian Andersen",Rs.8821,Not in stock,7 Reviews,https://en.wikipedia.org/wiki/Fairy_Tales_Told_for_Children._First_Collection.,2.13
"The Divine Comedy
By Dante Alighieri",Rs.6013,In stock,30 Reviews,https://en.wikipedia.org/wiki/Divine_Comedy,0
"The Epic Of Gilgamesh
By Unknown",Rs.3277,In stock,153 Reviews,https://en.wikipedia.org/wiki/Epic_of_Gilgamesh,2.1
"The Book Of Job
By Unknown",Rs.9630,Not in stock,194 Reviews,https://en.wikipedia.org/wiki/Book_of_Job,1.8
"One Thousand and One Nights
By Unknown",Rs.3741,In stock,87 Reviews,https://en.wikipedia.org/wiki/One_Thousand_and_One_Nights,0
"Njál's Saga
By Unknown",Rs.5712,Not in stock,104 Reviews,https://en.wikipedia.org/wiki/Nj%C3%A1ls_saga,4.08
"Pride and Prejudice
By Jane Austen",Rs.7656,Not in stock,138 Reviews,https://en.wikipedia.org/wiki/Pride_and_Prejudice,4.64
"Le Père Goriot
By Honoré de Balzac",Rs.6821,In stock,9 Reviews,https://en.wikipedia.org/wiki/Le_P%C3%A8re_Goriot,2.24
"Molloy, Malone Dies, The Unnamable, the trilogy
By Samuel Beckett",Rs.9803,Not in stock,109 Reviews,https://en.wikipedia.org/wiki/Molloy_(novel),4.48
"The Decameron
By Giovanni Boccaccio",Rs.3939,In stock,39 Reviews,https://en.wikipedia.org/wiki/The_Decameron,1.22
"Ficciones
By Jorge Luis Borges",Rs.4550,Not in stock,5 Reviews,https://en.wikipedia.org/wiki/Ficciones,3.66
"Wuthering Heights
By Emily Brontë",Rs.6892,In stock,170 Reviews,https://en.wikipedia.org/wiki/Wuthering_Heights,5
"The Stranger
By Albert Camus",Rs.4287,Not in stock,46 Reviews,https://en.wikipedia.org/wiki/The_Stranger_(novel),0
"Poems
By Paul Celan",Rs.3872,In stock,186 Reviews,https://arifpucit.github.io/bss2/scroll/,5
"Journey to the End of the Night
By Louis-Ferdinand Céline",Rs.7185,In stock,135 Reviews,https://en.wikipedia.org/wiki/Journey_to_the_End_of_the_Night,3.43
"Don Quijote De La Mancha
By Miguel de Cervantes",Rs.3841,In stock,36 Reviews,https://en.wikipedia.org/wiki/Don_Quixote,4.17
"The Canterbury Tales
By Geoffrey Chaucer",Rs.9346,In stock,68 Reviews,https://en.wikipedia.org/wiki/The_Canterbury_Tales,3.86
"Stories
By Anton Chekhov",Rs.3506,Not in stock,132 Reviews,https://en.wikipedia.org/wiki/List_of_short_stories_by_Anton_Chekhov,2.74
"Nostromo
By Joseph Conrad",Rs.3892,Not in stock,58 Reviews,https://en.wikipedia.org/wiki/Nostromo,3.5
"Great Expectations
By Charles Dickens",Rs.6974,In stock,73 Reviews,https://en.wikipedia.org/wiki/Great_Expectations,3.2800000000000002
"Jacques the Fatalist
By Denis Diderot",Rs.3450,In stock,115 Reviews,https://en.wikipedia.org/wiki/Jacques_the_Fatalist,0
"Berlin Alexanderplatz
By Alfred Döblin",Rs.8486,In stock,126 Reviews,https://en.wikipedia.org/wiki/Berlin_Alexanderplatz,0
"Crime and Punishment
By Fyodor Dostoevsky",Rs.3658,Not in stock,134 Reviews,https://en.wikipedia.org/wiki/Crime_and_Punishment,1.6099999999999999
"The Idiot
By Fyodor Dostoevsky",Rs.3883,Not in stock,121 Reviews,https://en.wikipedia.org/wiki/The_Idiot,0
"The Possessed
By Fyodor Dostoevsky",Rs.9476,In stock,35 Reviews,https://en.wikipedia.org/wiki/Demons_(Dostoyevsky_novel),3.66
"The Brothers Karamazov
By Fyodor Dostoevsky",Rs.9003,Not in stock,169 Reviews,https://en.wikipedia.org/wiki/The_Brothers_Karamazov,5
"Middlemarch
By George Eliot",Rs.9820,In stock,173 Reviews,https://en.wikipedia.org/wiki/Middlemarch,2.51
"Invisible Man
By Ralph Ellison",Rs.3116,Not in stock,51 Reviews,https://en.wikipedia.org/wiki/Invisible_Man,3.75
"Medea
By Euripides",Rs.7654,Not in stock,68 Reviews,https://en.wikipedia.org/wiki/Medea_(play),3.93
"Absalom, Absalom!
By William Faulkner",Rs.5668,Not in stock,31 Reviews,"https://en.wikipedia.org/wiki/Absalom,_Absalom!",5
"The Sound and the Fury
By William Faulkner",Rs.8148,In stock,151 Reviews,https://en.wikipedia.org/wiki/The_Sound_and_the_Fury,2.57
"Madame Bovary
By Gustave Flaubert",Rs.5230,Not in stock,12 Reviews,https://en.wikipedia.org/wiki/Madame_Bovary,3.29
"Sentimental Education
By Gustave Flaubert",Rs.6874,In stock,65 Reviews,https://en.wikipedia.org/wiki/Sentimental_Education,0
"Gypsy Ballads
By Federico García Lorca",Rs.9748,In stock,64 Reviews,https://en.wikipedia.org/wiki/Gypsy_Ballads,0
"One Hundred Years of Solitude
By Gabriel García Márquez",Rs.8252,Not in stock,127 Reviews,https://en.wikipedia.org/wiki/One_Hundred_Years_of_Solitude,5
"Love in the Time of Cholera
By Gabriel García Márquez",Rs.3208,Not in stock,25 Reviews,https://en.wikipedia.org/wiki/Love_in_the_Time_of_Cholera,4.77
"Faust
By Johann Wolfgang von Goethe",Rs.4212,In stock,60 Reviews,https://en.wikipedia.org/wiki/Goethe%27s_Faust,1.37
"Dead Souls
By Nikolai Gogol",Rs.4881,Not in stock,64 Reviews,https://en.wikipedia.org/wiki/Dead_Souls,2.73
"The Tin Drum
By Günter Grass",Rs.8337,Not in stock,164 Reviews,https://en.wikipedia.org/wiki/The_Tin_Drum,5
"The Devil to Pay in the Backlands
By João Guimarães Rosa",Rs.3387,Not in stock,121 Reviews,https://en.wikipedia.org/wiki/The_Devil_to_Pay_in_the_Backlands,1.54
"Hunger
By Knut Hamsun",Rs.3861,In stock,169 Reviews,https://en.wikipedia.org/wiki/Hunger_(Hamsun_novel),3.09
"The Old Man and the Sea
By Ernest Hemingway",Rs.7979,In stock,117 Reviews,https://en.wikipedia.org/wiki/The_Old_Man_and_the_Sea,4.95
"Iliad
By Homer",Rs.5942,Not in stock,62 Reviews,https://en.wikipedia.org/wiki/Iliad,0
"Odyssey
By Homer",Rs.7338,In stock,53 Reviews,https://en.wikipedia.org/wiki/Odyssey,5
"A Doll's House
By Henrik Ibsen",Rs.4800,In stock,162 Reviews,https://en.wikipedia.org/wiki/A_Doll%27s_House,0
"Ulysses
By James Joyce",Rs.3476,Not in stock,170 Reviews,https://en.wikipedia.org/wiki/Ulysses_(novel),2.16
"Stories
By Franz Kafka",Rs.6491,Not in stock,41 Reviews,https://en.wikipedia.org/wiki/Franz_Kafka_bibliography#Short_stories,2.05
"The Trial
By Franz Kafka",Rs.6097,Not in stock,69 Reviews,https://en.wikipedia.org/wiki/The_Trial,5
"The Castle
By Franz Kafka",Rs.4317,Not in stock,89 Reviews,https://en.wikipedia.org/wiki/The_Castle_(novel),0
"The recognition of Shakuntala
By Kālidāsa",Rs.8178,Not in stock,169 Reviews,https://en.wikipedia.org/wiki/Abhij%C3%B1%C4%81na%C5%9B%C4%81kuntalam,3.34
